theme,sub_theme,feature_name,latitude,longitude,Description,Address
Cultural & Historical,Public Buildings,Elisabeth Murdoch Hall,-37.82397337,144.967451,,"Melbourne Recital Centre, 31 Sturt St, Southbank VIC 3006"
Cultural & Historical,Public Buildings,NGV International,-37.8230135,144.9693425,"Public gallery with vast, varied collection of noted Australian and international art and artefacts.","180 St Kilda Rd, Melbourne VIC 3006"
Cultural & Historical,Public Buildings,State Library Victoria,-37.80998522,144.9643303,"State landmark opened in 1856, spanning one city block & featuring a grand reading room.","328 Swanston St, Melbourne VIC 3000"
Cultural & Historical,Public Buildings,Shrine of Remembrance,-37.830208,144.9734419,"Shrine commemorating Australian wartime service with memorials, exhibitions & gardens.","Birdwood Ave, Melbourne VIC 3001"
Cultural & Historical,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529,"Architecturally notable building featuring contemporary art exhibits & events, plus a bookshop.","111 Sturt St, Southbank VIC 3006"
Cultural & Historical,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907,Modern building of an institution founded in 1854 containing dinosaur and regional history exhibits.,"11 Nicholson St, Carlton VIC 3053"
Cultural & Historical,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698,Museum featuring artifacts & interactive displays tracing the history of Australian sport.,"Melbourne Cricket Ground, Yarra Park, Gate 3 Brunton Ave, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,Sinclair's Cottage,-37.81454075,144.980555,,East Melbourne VIC 3002
Cultural & Historical,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.81338543,144.9540279,"Contemporary space featuring Aboriginal & Koorie art & artifacts, with public programs.","The Birrarung Building, Fed Square, Cnr Flinders &, Swanston St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Cooks' Cottage,-37.81446049,144.9794713,"Yorkshire cottage home to James Cook's family, shipped from England & rebuilt in a city park.","Fitzroy Gardens, Wellington Parade, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,Royal Exhibition Building,-37.80460262,144.9715219,"Landmark 19th-century exhibition centre, topped with a dome, and set amid landscaped gardens.","9 Nicholson St, Carlton VIC 3053"
Cultural & Historical,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.81076861,144.9692339,"Exhibits chronicling the heritage & culture of Australia's Chinese community, plus a gift shop.","22 Cohen Pl, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,"Now a museum with self & guided tours, this storied tri-level jail once housed notorious inmates.","377 Russell St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781,"1885 cargo vessel turned museum ship with guided tours, reenactments & family-oriented events.","21 S Wharf Promenade, South Wharf VIC 3006"
Cultural & Historical,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373,"Prominent performing arts centre with theaters, a concert hall & outdoor arena for various shows.","100 St Kilda Rd, Southbank VIC 3004"
Cultural & Historical,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,"Sprawling gallery of 70,000+ pieces of historic indigenous art, contemporary pieces & artifacts.","Federation Square, Flinders St &, Russell St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Victoria Police Museum,-37.82221828,144.95404,,"313 Spencer St, Docklands VIC 3008"
Cultural & Historical,Art Gallery/Museum,Immigration Museum,-37.81917988,144.9604268,"Multimedia exhibits documenting the history of immigration in Australia, plus a gift shop.","400 Flinders St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Fire Services Museum Victoria,-37.80857613,144.9753737,,"39 Gisborne St, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.79739396,144.9641567,"Large collection of works including indigenous & European art, plus relics like Greek pots & coins.","Swanston St, Parkville VIC 3052"
Cultural & Historical,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,"Noteworthy institution celebrating film, television and gaming with exhibits, screenings and events.","Federation Square, Flinders St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Fox Classic Car Collection,-37.82137443,144.9484967,,"749-755 Collins St, Docklands VIC 3008"
Cultural & Historical,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.82524551,144.9543524,,South Wharf VIC 3006
Cultural & Historical,Function/Conference/Exhibition Centre,Central Pier,-37.81651773,144.943475,,Docklands VIC 3008
Cultural & Historical,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.80973741,144.9813834,,"300 Albert St, East Melbourne VIC 3002"
Cultural & Historical,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.82490405,144.9522883,,"1 Convention Centre Pl, South Wharf VIC 3006"
Cultural & Historical,Church,St Francis Church,-37.81188478,144.9624226,,"326 Lonsdale St, Melbourne VIC 3000"
Cultural & Historical,Church,St James Church,-37.81012812,144.9524686,,"Cnr King St &, Batman St, West Melbourne VIC 3003"
Cultural & Historical,Church,St Mary's Anglican Church,-37.80316637,144.9537615,,"428 Queensberry St, North Melbourne VIC 3051"
Cultural & Historical,Church,Scots Church,-37.81456878,144.9685511,,"77 Russell St, Melbourne VIC 3000"
Cultural & Historical,Church,St Michael's Uniting Church,-37.81438513,144.969174,,"120 Collins St, Melbourne VIC 3000"
Cultural & Historical,Church,South Yarra Presbyterian Church,-37.84074736,144.985627,,"621 Punt Rd, South Yarra VIC 3141"
Cultural & Historical,Church,St Patricks Cathedral,-37.8101141,144.9759015,"Imposing 1800s Gothic Revival–style cathedral, known for its unique bells and ornate stained glass.","1 Cathedral Pl, East Melbourne VIC 3002"
Cultural & Historical,Church,St Pauls Cathedral,-37.8169549,144.9676816,"Neo-Gothic cathedral, consecrated in 1891, with twin spires and stained-glass processional doors.","Flinders St, Melbourne VIC 3000"
Cultural & Historical,Church,Romanian Orthodox,-37.80523073,144.9669864,,"61/53-63 Queensberry St, Carlton VIC 3053"
Cultural & Historical,Church,St Peter's Eastern Hill,-37.80970867,144.9752592,,"15 Gisborne St, East Melbourne VIC 3002"
Cultural & Historical,Church,Lutheran Trinity Church,-37.81097571,144.9757295,,"22 Parliament Pl, East Melbourne VIC 3002"
Cultural & Historical,Church,St Johns Lutheran Church,-37.82093997,144.9671211,,"20 City Rd, Southbank VIC 3006"
Cultural & Historical,Church,St Michaels,-37.79405127,144.9453995,,"120 Collins St, Melbourne VIC 3000"
Cultural & Historical,Church,Ukranian Catholic Cathedral,-37.79630846,144.9443135,,"35 Canning St, North Melbourne VIC 3051"
Cultural & Historical,Church,Collins Street Baptist Church,-37.81470119,144.9680725,,"174 Collins St, Melbourne VIC 3000"
Cultural & Historical,Synagogue,East Melbourne Synagogue,-37.80911373,144.9742219,,"488 Albert St, East Melbourne VIC 3002"
Public Services & Institutions,Visitor Centre,Melbourne Visitor Hub,-37.81384849,144.9664206,,"90-130 Swanston Street Corner Little Collins and, Swanston St, Melbourne VIC 3000"
Public Services & Institutions,Visitor Centre,Melbourne Visitor Booth,-37.81395251,144.9644259,,"Bourke Street Mall, Melbourne VIC 3000"
Public Services & Institutions,Tertiary (University),RMIT University,-37.80807954,144.964453,,"124 La Trobe St, Melbourne VIC 3000"
Public Services & Institutions,Tertiary (University),University of Melbourne,-37.79828923,144.9609952,"Multi-campus public teaching and research institution, founded in 1853, with graduate schools.",Parkville VIC 3052
Public Services & Institutions,Tertiary (University),University of Melbourne (VCA and Music),-37.82411377,144.9693325,,"234 St Kilda Rd, Southbank VIC 3006"
Public Services & Institutions,Public Buildings,Melbourne Town Hall,-37.81507548,144.9665427,This stately 19th-century town hall is the seat of local government & host to various events.,"90/130 Swanston St, Melbourne VIC 3000"
Recreational & Entertainment,Cinema,IMAX Melbourne,-37.80343156,144.9706399,"Movie theater chain known for presenting 3D films on a giant screen, including blockbusters.","Rathdowne St, Carlton VIC 3053"
Recreational & Entertainment,Public Buildings,Sidney Myer Music Bowl,-37.82334716,144.9746862,,"Kings Domain Gardens, Linlithgow Ave, Melbourne VIC 3000"
Recreational & Entertainment,Public Buildings,Conservatory,-37.81400213,144.9785597,,"9-23 MacKenzie St, Melbourne VIC 3000"
Recreational & Entertainment,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),-37.79970512,144.9403683,,"204-206 Arden St, North Melbourne VIC 3051"
Recreational & Entertainment,Indoor Recreation Facility,Artplay,-37.81841988,144.9715426,,"Birrarung Marr, Russell St Ext, Melbourne VIC 3004"
Recreational & Entertainment,Indoor Recreation Facility,Icehouse,-37.81218812,144.935684,,"Ground/105 Pearl River Rd, Docklands VIC 3008"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens,-37.80176908,144.9719976,Landscaped Victorian-era park now containing the Royal Exhibition Building and Melbourne Museum.,"1-111 Carlton St, Carlton VIC 3053"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.82552398,144.9741079,"89 acres of parkland by the river, with an outdoor performance venue, war memorial & gardens.","Alexandra Ave, Melbourne VIC 3004"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.81439936,144.9759523,"Mid-1800s green space with a tree-lined avenue & a duck pond, plus a monument to John F. Kennedy.","2-18 Spring St, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,-37.82163812,144.9710495,"Triangular ornamental gardens featuring ponds, a Queen Victoria monument & a famous floral clock.","St Kilda Rd, Melbourne VIC 3004"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,-37.81785166,144.9689636,"Abstract buildings flank this block-size plaza, filled with restaurants, museums and arts venues.","Swanston St & Flinders St, Melbourne VIC 3000"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,-37.81521788,144.9416179,Trendy residential and retail complex sporting landmark towers – one shaped like a ship's bow – along the Yarra River.,
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,-37.78784733,144.9229721,,"407 Racecourse Rd, Kensington VIC 3031"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,-37.81112229,144.9546961,"Spacious, tranquil park with landscaped gardens & sculptures, plus picnic & recreational facilities.","309-311 William St, West Melbourne VIC 3003"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,-37.84139967,144.9816257,"Historic green space founded in 1862, with expansive lawns, mature trees, tennis courts & paths.","24-88 Commercial Rd, South Yarra VIC 3141"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,-37.81296163,144.9804557,"Historic 26-hectare site in city centre with model Tudor village, tree-lined walking paths & cafes.","Wellington Parade, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,-37.82021027,144.9592769,,"401 Flinders St, Melbourne VIC 3000"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,-37.79833187,144.9715141,,"1-71 MacArthur Pl N, Carlton VIC 3053"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,-37.83149186,144.9088248,Paths edge restored wetlands home to black swans in a park with city views & an oft-pink salt lake.,"4 Wharf Rd, Port Melbourne VIC 3207"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,-37.80279197,144.9627609,,"Lincoln Square, Lincoln Square S, Carlton VIC 3053"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,-37.82184609,144.9566658,,"2A Spencer St, Melbourne VIC 3000"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,-37.81806108,144.9731467,"Scenic riverfront park offering play areas & open space, also home to festivals & city events.",Melbourne VIC 3004
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,-37.82078871,144.9729518,,"Boathouse Dr, Melbourne VIC 3004"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,-37.79061743,144.9538342,,Parkville VIC 3052
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,-37.83066316,144.9808504,"36-hectare botanic garden founded in 1846, planted with Australian species and non-native gardens.",Melbourne VIC 3004
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,-37.82046937,144.9866711,,"Marathon Way, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,-37.81299207,144.9890626,,"1-41 Darling St, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,-37.80985262,144.9734622,,East Melbourne VIC 3002
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),University Square,-37.80041071,144.9603983,,Carlton VIC 3053
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,-37.81169299,144.9872757,,"153 Simpson St, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,-37.821674,144.9881563,,"Swinburne Centre, Punt Rd, East Melbourne VIC 3002"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,-37.82099568,144.9467817,,"1-91 Harbour Esplanade, Docklands VIC 3008"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,-37.82335227,144.9421023,,"River Esplanade, Docklands VIC 3008"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,-37.82060514,144.9717961,"Waterfront park with walking & cycling trails, a BBQ/picnic area, skate park, playground & cafe.","Alexandra Gardens Skate Park, 3 Boathouse Dr, Melbourne VIC 3004"
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),,,,,
Recreational & Entertainment,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,-37.78701617,144.9611152,,"200-590 Royal Parade, Carlton North VIC 3054"
Recreational & Entertainment,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678,,"Ikon Park, 400 Royal Parade, Carlton North VIC 3054"
Recreational & Entertainment,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143,"Founded in 1848, this racecourse hosts the annual Melbourne Cup, drawing up to 120,000 spectators.","448 Epsom Rd, Flemington VIC 3031"
Recreational & Entertainment,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029,"Home of Australian football and the National Sports Museum, also serving as a music venue and more.","Brunton Ave, Richmond VIC 3002"
Recreational & Entertainment,Major Sports & Recreation Facility,Rod Laver Arena,-37.82204561,144.9784872,,"200 Batman Ave, Melbourne VIC 3004"
Recreational & Entertainment,Major Sports & Recreation Facility,Melbourne Park,-37.8209086,144.9787358,Mixed sports facility hosting one of tennis' 4 annual majors and a wide variety of indoor sports.,Melbourne VIC 3001
Recreational & Entertainment,Major Sports & Recreation Facility,Hisense Arena,-37.82311,144.9818348,,"Olympic Blvd, Melbourne VIC 3001"
Recreational & Entertainment,Major Sports & Recreation Facility,City Baths,-37.80715854,144.9631898,,"Ground Floor/420 Swanston St, Melbourne VIC 3000"
Recreational & Entertainment,Major Sports & Recreation Facility,Marvel Stadium,-37.81617605,144.9474963,"Melbourne Victory's home soccer stadium also hosting rugby, Australian rules and live performances.","740 Bourke St, Docklands VIC 3008"
Recreational & Entertainment,Major Sports & Recreation Facility,AAMI Park,-37.82472527,144.983803,"Dome-roofed, 30,000-capacity sports complex hosting soccer, rugby & big-name concerts.","Olympic Blvd, Melbourne VIC 3004"
Recreational & Entertainment,Major Sports & Recreation Facility,Margaret Court Arena,-37.82132521,144.9775911,,"Olympic Blvd, Melbourne VIC 3001"
Recreational & Entertainment,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),-37.799947,144.9432908,,"204-206 Arden St, North Melbourne VIC 3051"
Recreational & Entertainment,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581,,"10 Brens Dr, Parkville VIC 3052"
Recreational & Entertainment,Observation Tower/Wheel,Eureka Skydeck 88,-37.82161876,144.9646222,Gold-plated observation deck on the 88th floor with panoramic city views & a protruding glass cube.,"7 Riverside Quay, Southbank VIC 3006"
Recreational & Entertainment,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.81161637,144.9375889,Enormous rotating observation wheel with 360-degree views & glass-enclosed cabins for up to 20.,"The District Docklands, 101 Waterfront Way, Docklands VIC 3008"
Recreational & Entertainment,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.78444493,144.9513712,"Modelled on London Zoo, this family-friendly establishment has animals from all around the world.","Elliott Ave, Parkville VIC 3052"
Recreational & Entertainment,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,-37.78230979,144.9108221,,"Epsom Rd, Ascot Vale VIC 3032"
Recreational & Entertainment,Private Sports Club/Facility,Royal Park Golf Course,-37.78191713,144.9563091,,"11 Old Poplar Rd, Parkville VIC 3052"
Recreational & Entertainment,Aquarium,Melbourne Aquarium,-37.82096278,144.9584257,"Interactive multilevel aquarium housing 10,000+ animals, including sharks & saltwater crocodiles.","King St, Melbourne VIC 3000"
Recreational & Entertainment,Casino,Crown Entertainment Complex,-37.82357611,144.9573129,"Sprawling riverside entertainment complex with 3 hotels, spas & a casino, plus restaurants & bars.","8 Whiteman St, Southbank VIC 3006"
Retail & Shopping,Retail/Office,DFO South Wharf,-37.8248874,144.9497943,"Shopping centre featuring outlet stores from domestic & international brands, plus a food court.","20 Convention Centre Pl, South Wharf VIC 3006"
Retail & Shopping,Retail/Office,Waterfront City,-37.81505666,144.9391369,,"429-437 Docklands Dr, Docklands VIC 3008"
Retail & Shopping,Retail/Office/Carpark,Melbourne Central,-37.81053718,144.9627497,"Various retailers & dining options, plus a cinema, offered in a multilevel space with a glass dome.","Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000"
Retail & Shopping,Retail/Office/Residential/Carpark,QV Village,-37.81068919,144.9657146,"Contemporary shopping enter offering trendy stores, eateries, billiards, bowling & a turf courtyard.","Cnr Lonsdale Street and, Swanston St, Melbourne VIC 3000"
Retail & Shopping,Department Store,Myer,-37.8135912,144.9638551,,"314/336 Bourke St, Melbourne VIC 3000"
Retail & Shopping,Department Store,David Jones,-37.81331273,144.9643735,,"310 Bourke St, Melbourne VIC 3000"
Retail & Shopping,Retail,Queen Victoria Market,-37.8075002,144.9571585,"Longtime market selling food, clothing & more in a historic landmark spanning 2 city blocks.","Queen St, Melbourne VIC 3000"