latitude,longitude,stop_name,stop_number,routeussp
-37.82023779,144.9578631,Melbourne Aquarium / Flinders Street,4,35
-37.8209727,144.9554615,Spencer Street / Flinders Street,5,35
-37.82190465,144.9510986,The Goods Shed / Wurundjeri Way,7,35
-37.81177148,144.9564406,William Street / La Trobe Street,16,35
-37.81105928,144.9589175,Queen Street / La Trobe Street,17,35
-37.80961885,144.9638496,Swanston Street / La Trobe Street,19,35
-37.808877,144.9663447,Russell Street / La Trobe Street,20,35
-37.81358117,144.9740636,Parliament / Collins Street,25,35
-37.81763165,144.9669046,Swanston Street / Flinders Street,1,35
-37.8183244,144.9644792,Elizabeth Street / Flinders Street,2,35
-37.82215723,144.9477331,Docklands Park / Harbour Esplanade,8,35
-37.81865571,144.9465084,Bourke Street / Harbour Esplanade,9,35
-37.81446456,144.9386456,Waterfront City / Docklands Drive,12,35
-37.81318086,144.9514941,Spencer Street / La Trobe Street,14,35
-37.81035438,144.9613685,Elizabeth Street / La Trobe Street,18,35
-37.80760293,144.9707005,Victoria Street / La Trobe Street,22,35
-37.80801063,144.9731037,Nicholson Street / Victoria Parade,23,35
-37.80956201,144.9729141,Albert Street / Nicholson Street,24,35
-37.81667339,144.9701559,Russell Street / Flinders Street,28,35
-37.81922319,144.9614014,Market Street / Flinders Street,3,35
-37.82153912,144.9535691,Victoria Police Centre / Flinders Street,6,35
-37.81542659,144.9451206,Central Pier / Harbour Esplanade,10,35
-37.81341486,144.9413782,New Quay Promenade / Docklands Drive,11,35
-37.81459178,144.9465506,Etihad Statium / La Trobe Street,13,35
-37.81248792,144.9539353,King Street / La Trobe Street,15,35
-37.80814896,144.9687932,Exhibition Street / La Trobe Street,21,35
-37.81538859,144.9745339,Spring Street / Flinders Street,26,35
-37.81614537,144.9719695,Exhibition Street / Flinders Street,27,35