rank,name,summary,Location,Cleanliness,Service,Value,Pool,Bar / lounge,Airport transportation,Gym,HOTEL CLASS,Non-smoking rooms,latitude,Longitude,price,Great for walkers,Nearby restaurants,Attractions,website
1,Crowne Plaza Melbourne,4.0,4.5,4.5,4.0,3.5,1,1,1,1,4.0,1,-37.8227597056095,144.954620607568,309,100,223,48,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255387-Reviews-Crowne_Plaza_Melbourne_an_IHG_Hotel-Melbourne_Victoria.html
2,Next Hotel Melbourne,5.0,5.0,5.0,5.0,4.5,0,0,1,1,5.0,1,-37.8134636592544,144.970335868931,310,100,715,201,https://www.tripadvisor.com.au/Hotel_Review-g255100-d21499503-Reviews-Next_Hotel_Melbourne-Melbourne_Victoria.html
3,Treasury On Collins,4.5,5.0,5.0,5.0,4.5,0,1,0,1,4.0,1,-37.8167763573523,144.961021167085,299,100,698,190,https://www.tripadvisor.com.au/Hotel_Review-g255100-d7085664-Reviews-Treasury_On_Collins-Melbourne_Victoria.html
4,Zagame's House,5.0,5.0,5.0,5.0,5.0,0,1,0,1,4.0,1,-37.8054008228909,144.967323175747,304,100,185,30,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255412-Reviews-Zagame_s_House-Melbourne_Victoria.html
5,Lancemore Crossley St.,5.0,5.0,5.0,5.0,5.0,0,1,0,1,4.0,1,-37.8109443845095,144.970937882426,339,100,571,141,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256811-Reviews-Lancemore_Crossley_St-Melbourne_Victoria.html
6,Ovolo Laneways,4.5,5.0,4.5,5.0,4.5,0,1,1,1,4.0,1,-37.810670096098,144.971895595435,350,100,507,124,https://www.tripadvisor.com.au/Hotel_Review-g255100-d3190578-Reviews-Ovolo_Laneways-Melbourne_Victoria.html
7,InterContinental Melbourne The Rialto,4.5,4.5,4.5,4.5,4.0,1,1,0,1,5.0,1,-37.8181553058339,144.957961697767,329,100,457,92,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256838-Reviews-InterContinental_Melbourne_The_Rialto-Melbourne_Victoria.html
8,Quest St Kilda Road,4.5,5.0,5.0,5.0,4.5,0,0,0,1,4.0,1,-37.8425428523061,144.977009240097,219,83,36,5,https://www.tripadvisor.com.au/Hotel_Review-g255100-d15764212-Reviews-Quest_St_Kilda_Road-Melbourne_Victoria.html
9,Radisson on Flagstaff Gardens Melbourne,4.5,4.5,4.5,4.5,4.5,0,1,1,1,4.0,1,-37.8103772322595,144.956037982426,252,100,286,41,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257035-Reviews-Radisson_on_Flagstaff_Gardens_Melbourne-Melbourne_Victoria.html
10,Park Hyatt Melbourne,4.5,4.5,5.0,4.5,4.5,1,1,1,1,5.0,1,-37.8114304558847,144.976328211261,439,100,170,78,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256844-Reviews-Park_Hyatt_Melbourne-Melbourne_Victoria.html
11,QT Melbourne,4.5,5.0,5.0,4.5,4.5,0,1,1,1,5.0,1,-37.8133328520178,144.967989067085,402,100,989,277,https://www.tripadvisor.com.au/Hotel_Review-g255100-d10712642-Reviews-QT_Melbourne-Melbourne_Victoria.html
12,The Larwill Studio Melbourne - Art Series,4.5,4.5,5.0,4.5,4.5,0,0,1,1,4.0,1,-37.7949778357972,144.949805155436,201,75,73,37,https://www.tripadvisor.com.au/Hotel_Review-g255100-d6755952-Reviews-The_Larwill_Studio_Melbourne_Art_Series-Melbourne_Victoria.html
13,Crown Towers Melbourne,4.5,5.0,5.0,4.5,4.0,1,1,0,1,5.0,1,-37.8224227500208,144.959988383133,349,100,231,59,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257575-Reviews-Crown_Towers_Melbourne-Melbourne_Victoria.html
14,Quay West Suites Melbourne,4.5,5.0,4.5,4.5,4.5,1,1,1,1,5.0,1,-37.8204559801397,144.967136313107,380,100,299,101,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257049-Reviews-Quay_West_Suites_Melbourne-Melbourne_Victoria.html
15,"Quest NewQuay, Docklands",4.5,5.0,4.5,4.5,4.5,0,0,1,1,4.5,1,-37.8140631072441,144.940774397767,189,87,72,24,https://www.tripadvisor.com.au/Hotel_Review-g255100-d15362769-Reviews-Quest_NewQuay_Docklands-Melbourne_Victoria.html
16,Quest on Dorcas,4.5,4.5,4.5,4.5,4.5,0,0,0,0,4.0,1,-37.8300360317612,144.970155082426,275,92,41,26,https://www.tripadvisor.com.au/Hotel_Review-g255100-d460130-Reviews-Quest_on_Dorcas-Melbourne_Victoria.html
17,Melbourne Marriott Hotel,4.5,4.5,4.5,4.5,4.0,1,1,0,1,5.0,1,-37.8099639323544,144.969443126602,309,100,623,137,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255676-Reviews-Melbourne_Marriott_Hotel-Melbourne_Victoria.html
18,Alto Hotel on Bourke,4.5,4.5,4.5,4.5,4.5,0,1,0,1,4.0,1,-37.816416828636,144.954768668931,199,100,451,72,https://www.tripadvisor.com.au/Hotel_Review-g255100-d585734-Reviews-Alto_Hotel_on_Bourke-Melbourne_Victoria.html
19,Vibe Hotel Melbourne,4.5,5.0,5.0,4.5,4.5,1,1,0,1,3.5,1,-37.8188394303149,144.962001697767,309,100,548,145,https://www.tripadvisor.com.au/Hotel_Review-g255100-d19260510-Reviews-Vibe_Hotel_Melbourne-Melbourne_Victoria.html
20,The Westin Melbourne,4.5,5.0,5.0,4.5,4.0,1,0,1,1,5.0,1,-37.815880306618,144.967473582426,440,100,798,237,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257047-Reviews-The_Westin_Melbourne-Melbourne_Victoria.html
21,Grand Hotel Melbourne,4.0,4.5,4.5,4.5,4.0,1,1,0,1,4.5,1,-37.820666729895,144.954419768931,225,100,328,61,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257577-Reviews-Grand_Hotel_Melbourne-Melbourne_Victoria.html
22,Adelphi Hotel,4.5,5.0,5.0,5.0,4.5,1,1,1,1,4.0,1,-37.8162649797518,144.968310511261,394,100,654,207,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256779-Reviews-Adelphi_Hotel-Melbourne_Victoria.html
23,Ink Hotel Melbourne Southbank,4.5,4.5,5.0,4.5,4.5,0,1,1,1,4.0,1,-37.8243627642771,144.962357193592,235,100,117,26,https://www.tripadvisor.com.au/Hotel_Review-g255100-d17848207-Reviews-Ink_Hotel_Melbourne_Southbank-Melbourne_Victoria.html
24,The Savoy Hotel On Little Collins Melbourne,4.0,4.5,4.5,4.5,4.0,0,1,0,1,4.0,1,-37.8178381599786,144.953944226602,278,100,386,62,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257039-Reviews-The_Savoy_Hotel_On_Little_Collins_Melbourne-Melbourne_Victoria.html
25,Pan Pacific Melbourne,4.5,4.5,4.5,4.5,4.0,0,1,1,1,5.0,1,-37.8251256543097,144.951010011261,369,95,81,12,https://www.tripadvisor.com.au/Hotel_Review-g255100-d1388984-Reviews-Pan_Pacific_Melbourne-Melbourne_Victoria.html
26,Quest Docklands,4.5,5.0,4.5,4.5,4.5,0,0,0,1,4.0,1,-37.818390640988,144.947847381942,443,95,138,15,https://www.tripadvisor.com.au/Hotel_Review-g255100-d585309-Reviews-Quest_Docklands-Melbourne_Victoria.html
27,Sofitel Melbourne on Collins,4.5,5.0,4.5,4.5,4.5,1,0,1,1,5.0,1,-37.8140473347556,144.972924284272,475,100,432,140,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257041-Reviews-Sofitel_Melbourne_on_Collins-Melbourne_Victoria.html
28,Quest Southbank,4.0,4.5,4.5,4.5,4.0,0,0,0,1,4.0,1,-37.8226558552274,144.966324811261,284,100,108,32,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257050-Reviews-Quest_Southbank-Melbourne_Victoria.html
29,ibis Melbourne Central,4.5,4.5,5.0,4.5,4.5,0,1,0,1,3.5,1,-37.8120554558127,144.960145824755,169,100,724,137,https://www.tripadvisor.com.au/Hotel_Review-g255100-d15215118-Reviews-Ibis_Melbourne_Central-Melbourne_Victoria.html
30,Hotel Lindrum Melbourne - MGallery,4.5,4.5,4.5,4.5,4.0,0,1,0,1,5.0,1,-37.8154525040828,144.973670968931,315,100,265,99,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256843-Reviews-Hotel_Lindrum_Melbourne_MGallery-Melbourne_Victoria.html
31,Crown Promenade Melbourne,4.5,4.5,4.5,4.5,4.0,1,1,1,1,4.0,1,-37.8238394797505,144.959883053591,299,100,139,25,https://www.tripadvisor.com.au/Hotel_Review-g255100-d523930-Reviews-Crown_Promenade_Melbourne-Melbourne_Victoria.html
32,Novotel Melbourne South Wharf,4.5,4.5,4.5,4.5,4.5,0,0,0,0,4.0,1,-37.825369928814,144.950474255437,270,92,55,9,https://www.tripadvisor.com.au/Hotel_Review-g255100-d12957197-Reviews-Novotel_Melbourne_South_Wharf-Melbourne_Victoria.html
33,Travelodge Hotel Melbourne Docklands,4.0,4.5,4.5,4.0,4.0,0,0,0,0,4.0,1,-37.8190307807944,144.950341940096,212,98,182,26,https://www.tripadvisor.com.au/Hotel_Review-g255100-d1557275-Reviews-Travelodge_Hotel_Melbourne_Docklands-Melbourne_Victoria.html
34,The Victoria Hotel,4.0,5.0,4.0,4.0,4.0,1,1,0,1,3.0,1,-37.8142818039487,144.967098911261,166,100,997,273,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257434-Reviews-The_Victoria_Hotel-Melbourne_Victoria.html
35,Hyatt Centric Melbourne,4.5,4.5,5.0,4.5,4.5,1,1,0,1,5.0,1,-37.8202420548714,144.955523982426,297,100,346,65,https://www.tripadvisor.com.au/Hotel_Review-g255100-d23651164-Reviews-Hyatt_Centric_Melbourne-Melbourne_Victoria.html
36,Clarion Suites Gateway,4.5,4.5,4.5,4.5,4.5,1,0,0,0,4.0,1,-37.8194786549592,144.959556441943,269,100,405,91,https://www.tripadvisor.com.au/Hotel_Review-g255100-d325659-Reviews-Clarion_Suites_Gateway-Melbourne_Victoria.html
37,"The Langham, Melbourne",4.5,5.0,5.0,4.5,4.5,1,1,0,1,5.0,1,-37.8206818548208,144.965705984272,420,100,288,89,https://www.tripadvisor.com.au/Hotel_Review-g255100-d549485-Reviews-The_Langham_Melbourne-Melbourne_Victoria.html
38,"Holiday Inn Melbourne on Flinders, an IHG Hotel",4.5,4.5,4.5,4.5,4.5,1,1,0,1,4.0,1,-37.8202495548705,144.954985124755,332,100,347,63,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255386-Reviews-Holiday_Inn_Melbourne_on_Flinders_an_IHG_Hotel-Melbourne_Victoria.html
39,Suite on Flinders,4.5,4.5,4.5,4.5,4.0,0,0,0,0,4.0,1,-37.82060165483,144.955741682426,155,100,329,68,https://www.tripadvisor.com.au/Hotel_Review-g255100-d10388699-Reviews-Suite_on_Flinders-Melbourne_Victoria.html
40,Miami Hotel Melbourne,4.0,4.0,4.5,4.5,4.5,0,0,0,0,3.0,1,-37.8059856262428,144.948442111261,112,86,82,14,https://www.tripadvisor.com.au/Hotel_Review-g255100-d263512-Reviews-Miami_Hotel_Melbourne-Melbourne_Victoria.html
41,Mantra on Little Bourke Melbourne,4.5,4.5,4.5,4.5,4.5,0,1,0,1,4.5,1,-37.8144852939053,144.958974524271,290,100,632,141,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256818-Reviews-Mantra_on_Little_Bourke_Melbourne-Melbourne_Victoria.html
42,WRAP on Southbank,4.0,4.5,4.5,4.5,4.0,1,1,0,1,4.0,1,-37.8234584555038,144.963568882426,259,100,117,27,https://www.tripadvisor.com.au/Hotel_Review-g255100-d6649799-Reviews-WRAP_on_Southbank-Melbourne_Victoria.html
43,Four Points By Sheraton Melbourne Docklands,4.0,4.5,4.5,4.5,4.0,1,1,0,1,4.0,1,-37.8153254554366,144.938477524755,249,86,66,25,https://www.tripadvisor.com.au/Hotel_Review-g255100-d12005881-Reviews-Four_Points_By_Sheraton_Melbourne_Docklands-Melbourne_Victoria.html
44,Jasper Boutique Hotel,4.0,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8073985372758,144.959801528448,197,100,288,49,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257578-Reviews-Jasper_Boutique_Hotel-Melbourne_Victoria.html
45,View Melbourne,4.5,4.5,4.5,4.5,4.5,1,1,0,1,4.0,1,-37.8463432797464,144.978420482427,199,80,38,7,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257028-Reviews-View_Melbourne-Melbourne_Victoria.html
46,Pegasus Apart'Hotel,4.0,4.5,4.5,4.5,4.5,1,0,0,1,4.0,1,-37.8101322271941,144.957156555437,184,100,367,52,https://www.tripadvisor.com.au/Hotel_Review-g255100-d3686304-Reviews-Pegasus_Apart_Hotel-Melbourne_Victoria.html
47,Somerset on Elizabeth Melbourne,4.0,5.0,4.0,4.5,4.0,1,0,1,1,4.0,1,-37.8127524076959,144.962707940096,195,100,884,209,https://www.tripadvisor.com.au/Hotel_Review-g255100-d277683-Reviews-Somerset_on_Elizabeth_Melbourne-Melbourne_Victoria.html
48,Oaks Melbourne on William Suites,4.5,4.5,4.5,4.5,4.5,0,0,0,1,4.5,1,-37.8112808513115,144.956507224755,209,99,373,51,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4326625-Reviews-Oaks_Melbourne_on_William_Suites-Melbourne_Victoria.html
49,Batman's Hill On Collins,4.0,4.5,4.0,4.0,4.0,0,1,1,1,4.0,1,-37.8191861549928,144.954523484272,189,100,356,62,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255448-Reviews-Batman_s_Hill_On_Collins-Melbourne_Victoria.html
50,Quincy Hotel Melbourne,4.5,4.5,4.5,4.5,4.5,1,1,1,1,4.0,1,-37.8195572045534,144.956960240096,263,100,391,81,https://www.tripadvisor.com.au/Hotel_Review-g255100-d21510585-Reviews-Quincy_Hotel_Melbourne-Melbourne_Victoria.html
51,The Sebel Melbourne Docklands,4.0,4.5,4.5,4.0,4.0,0,0,0,0,4.5,1,-37.8138135556105,144.942470553591,259,87,72,23,https://www.tripadvisor.com.au/Hotel_Review-g255100-d5281638-Reviews-The_Sebel_Melbourne_Docklands-Melbourne_Victoria.html
52,Rendezvous Hotel Melbourne,4.0,4.5,4.5,4.0,4.0,0,1,1,1,4.0,1,-37.8183323797515,144.963585513107,252,100,534,169,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257779-Reviews-Rendezvous_Hotel_Melbourne-Melbourne_Victoria.html
53,Travelodge Hotel Melbourne Southbank,4.0,5.0,4.5,4.5,4.5,0,0,0,0,3.5,1,-37.8212921297511,144.965338326602,218,100,242,70,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257808-Reviews-Travelodge_Hotel_Melbourne_Southbank-Melbourne_Victoria.html
54,Best Western Melbourne City,4.0,4.5,4.5,4.5,4.5,0,1,0,0,3.0,1,-37.820636054826,144.955017351744,140,100,324,63,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256823-Reviews-Best_Western_Melbourne_City-Melbourne_Victoria.html
55,Oaks Melbourne on Lonsdale Suites,4.0,4.5,4.5,4.0,4.0,0,0,0,0,4.0,1,-37.8098069508041,144.971338624755,269,100,468,115,https://www.tripadvisor.com.au/Hotel_Review-g255100-d798499-Reviews-Oaks_Melbourne_on_Lonsdale_Suites-Melbourne_Victoria.html
56,Mantra Southbank Melbourne,4.0,4.5,4.5,4.5,4.0,1,1,0,1,4.5,1,-37.8217300294616,144.96684929592,299,100,175,53,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257048-Reviews-Mantra_Southbank_Melbourne-Melbourne_Victoria.html
57,Amity Apartment Hotels,4.0,4.5,4.5,4.5,4.0,1,0,0,1,4.0,1,-37.837111452931,144.993720313108,259,69,140,15,https://www.tripadvisor.com.au/Hotel_Review-g255100-d940580-Reviews-Amity_Apartment_Hotels-Melbourne_Victoria.html
58,ibis Melbourne Hotel and Apartments,4.0,4.5,4.5,4.0,4.0,0,1,0,0,3.0,1,-37.8069734330416,144.961362697766,180,100,270,51,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256835-Reviews-Ibis_Melbourne_Hotel_and_Apartments-Melbourne_Victoria.html
59,Pullman Melbourne Albert Park,4.0,4.0,4.5,4.0,4.0,1,1,0,1,5.0,1,-37.849829517036,144.978757926126,269,77,29,4,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256817-Reviews-Pullman_Melbourne_Albert_Park-Melbourne_Victoria.html
60,Imagine Marco,4.0,4.0,4.5,4.0,4.0,1,0,0,1,4.0,1,-37.8265031821547,144.962661482426,199,94,55,15,https://www.tripadvisor.com.au/Hotel_Review-g255100-d11964844-Reviews-Imagine_Marco-Melbourne_Victoria.html
61,Causeway 353 Hotel,4.0,4.5,4.0,4.0,4.0,0,0,0,1,4.0,1,-37.815797431014,144.963169413107,194,100,844,236,https://www.tripadvisor.com.au/Hotel_Review-g255100-d1210876-Reviews-Causeway_353_Hotel-Melbourne_Victoria.html
62,Melbourne Hotel CBD,4.0,4.5,4.0,4.0,4.0,0,0,0,0,3.0,1,-37.8154639040842,144.954767340096,160,100,402,68,https://www.tripadvisor.com.au/Hotel_Review-g255100-d273197-Reviews-Melbourne_Hotel_CBD-Melbourne_Victoria.html
63,Punthill Manhattan,4.0,4.5,4.0,4.0,4.0,0,0,0,1,4.5,1,-37.8148269282712,144.972682853591,212,100,347,119,https://www.tripadvisor.com.au/Hotel_Review-g255100-d460131-Reviews-Punthill_Manhattan-Melbourne_Victoria.html
64,Novotel Melbourne Central Hotel,4.0,4.5,4.5,4.0,4.0,0,1,0,1,4.5,1,-37.8118883515206,144.960028082426,299,100,722,137,https://www.tripadvisor.com.au/Hotel_Review-g255100-d15215114-Reviews-Novotel_Melbourne_Central_Hotel-Melbourne_Victoria.html
65,Mantra 100 Exhibition Melbourne,4.0,4.5,4.0,4.0,4.0,0,1,0,1,4.0,1,-37.8133426556648,144.971500653591,239,100,617,177,https://www.tripadvisor.com.au/Hotel_Review-g255100-d278576-Reviews-Mantra_100_Exhibition_Melbourne-Melbourne_Victoria.html
66,Melbourne Carlton Central Apartment Hotel,4.0,4.5,4.0,4.5,4.0,0,0,0,0,4.0,1,-37.8037934027466,144.966961655437,100,100,182,30,https://www.tripadvisor.com.au/Hotel_Review-g255100-d737211-Reviews-Melbourne_Carlton_Central_Apartment_Hotel-Melbourne_Victoria.html
67,Stamford Plaza Melbourne,4.0,4.5,4.5,4.5,4.0,1,1,0,1,5.0,1,-37.8134908520722,144.969917340096,306,100,733,206,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257042-Reviews-Stamford_Plaza_Melbourne-Melbourne_Victoria.html
68,Seasons Botanic Gardens,4.0,4.5,4.0,4.0,4.0,1,1,0,1,4.0,1,-37.8309424058587,144.970938999613,229,91,44,20,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257046-Reviews-Seasons_Botanic_Gardens-Melbourne_Victoria.html
69,Quest on William,4.0,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8148737525483,144.958037153591,209,100,618,140,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257033-Reviews-Quest_on_William-Melbourne_Victoria.html
70,Quality Hotel Carlton,3.5,4.5,4.0,4.0,4.0,1,0,0,1,4.0,1,-37.783031017934,144.959114328447,949,65,41,28,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255411-Reviews-Quality_Hotel_Carlton-Melbourne_Victoria.html
71,Flinders Landing Apartments,4.0,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8160122553578,144.969117726602,259,100,638,204,https://www.tripadvisor.com.au/Hotel_Review-g255100-d545644-Reviews-Flinders_Landing_Apartments-Melbourne_Victoria.html
72,City Centre Budget Hotel,4.0,4.5,4.0,4.0,4.0,0,0,0,0,2.0,1,-37.8124596037397,144.972781626602,145,100,507,142,https://www.tripadvisor.com.au/Hotel_Review-g255100-d618310-Reviews-City_Centre_Budget_Hotel-Melbourne_Victoria.html
73,City Square Motel,4.0,5.0,4.0,4.0,4.5,0,0,0,0,3.0,1,-37.8160033577962,144.966590028448,147,100,715,229,https://www.tripadvisor.com.au/Hotel_Review-g255100-d263522-Reviews-City_Square_Motel-Melbourne_Victoria.html
74,Essence Hotel Carlton,4.0,4.5,4.5,4.0,4.0,0,0,0,0,3.0,1,-37.8041259797541,144.963001168931,181,100,214,32,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4833413-Reviews-Essence_Hotel_Carlton-Melbourne_Victoria.html
75,Hotel Grand Chancellor Melbourne,3.5,4.5,4.0,4.0,3.5,1,1,0,1,4.0,1,-37.810783665643,144.968459741942,199,100,756,171,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256827-Reviews-Hotel_Grand_Chancellor_Melbourne-Melbourne_Victoria.html
76,Naughtons Hotel,4.5,4.5,4.5,4.5,4.0,0,1,0,0,3.0,1,-37.7956625592162,144.95759075359,164,78,10,21,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4095294-Reviews-Naughtons_Hotel-Melbourne_Victoria.html
77,Mercure Melbourne Albert Park,3.5,4.0,4.0,4.0,4.0,1,1,0,1,4.0,1,-37.8497728949337,144.978719655438,179,78,33,4,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4045336-Reviews-Mercure_Melbourne_Albert_Park-Melbourne_Victoria.html
78,Atlantis Hotel,3.5,4.5,4.0,3.5,4.0,1,0,0,1,4.0,1,-37.8135701762171,144.951841040096,125,100,211,31,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255744-Reviews-Atlantis_Hotel-Melbourne_Victoria.html
79,Mercure Melbourne Therry Street,3.5,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8069951666604,144.960552251744,148,100,297,53,https://www.tripadvisor.com.au/Hotel_Review-g255100-d5021774-Reviews-Mercure_Melbourne_Therry_Street-Melbourne_Victoria.html
80,Carlton Lygon Lodge,4.0,4.5,4.0,4.0,3.5,0,0,1,1,3.0,1,-37.801842548063,144.966967811261,172,99,205,25,https://www.tripadvisor.com.au/Hotel_Review-g255100-d258512-Reviews-Carlton_Lygon_Lodge-Melbourne_Victoria.html
81,Ibis Budget Melbourne CBD,3.5,4.5,3.5,3.5,4.0,0,0,0,0,3.0,1,-37.8158395041273,144.963702897767,119,100,818,239,https://www.tripadvisor.com.au/Hotel_Review-g255100-d734777-Reviews-Ibis_Budget_Melbourne_CBD-Melbourne_Victoria.html
82,Mercure Welcome Melbourne,3.5,4.5,4.0,4.0,3.5,0,0,0,0,3.0,1,-37.8127771278008,144.964644368931,159,100,1011,246,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256813-Reviews-Mercure_Welcome_Melbourne-Melbourne_Victoria.html
83,W Melbourne,4.0,4.0,4.5,4.0,4.0,1,1,0,1,5.0,1,-37.8181649304699,144.960552641943,509,100,583,132,https://www.tripadvisor.com.au/Hotel_Review-g255100-d23153980-Reviews-W_Melbourne-Melbourne_Victoria.html
84,ibis Styles Kingsgate Hotel,3.0,4.0,3.5,3.5,3.0,0,0,0,0,3.0,1,-37.8169114777509,144.955728026602,129,100,485,87,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256837-Reviews-Ibis_Styles_Kingsgate_Hotel-Melbourne_Victoria.html
85,Arrow On Swanston,3.0,4.0,3.5,3.0,3.5,1,0,0,1,3.0,1,-37.8057316494016,144.963463913107,91,100,242,43,https://www.tripadvisor.com.au/Hotel_Review-g255100-d594066-Reviews-Arrow_On_Swanston-Melbourne_Victoria.html
