month,month_character,year,short-term visitor
1,Jan,2015,547.43
2,Feb,2015,726.06
3,Mar,2015,679.27
4,Apr,2015,550.15
5,May,2015,485.66
6,Jun,2015,488.15
7,Jul,2015,628.27
8,Aug,2015,574.14
9,Sep,2015,571.99
10,Oct,2015,625.8
11,Nov,2015,671.54
12,Dec,2015,901.32
1,Jan,2016,617.67
2,Feb,2016,798.61
3,Mar,2016,757.35
4,Apr,2016,610.5
5,May,2016,541.28
6,Jun,2016,555.07
7,Jul,2016,715.78
8,Aug,2016,632.14
9,Sep,2016,647.04
10,Oct,2016,695.92
11,Nov,2016,721.83
12,Dec,2016,976.15
1,Jan,2017,723.99
2,Feb,2017,787.58
3,Mar,2017,772.23
4,Apr,2017,700.01
5,May,2017,579.09
6,Jun,2017,606.01
7,Jul,2017,746.41
8,Aug,2017,702.9
9,Sep,2017,663.59
10,Oct,2017,741.36
11,Nov,2017,777.09
12,Dec,2017,1015.04
1,Jan,2018,702.58
2,Feb,2018,914.53
3,Mar,2018,872.35
4,Apr,2018,679.78
5,May,2018,609.45
6,Jun,2018,646.65
7,Jul,2018,774.36
8,Aug,2018,741.71
9,Sep,2018,690.19
10,Oct,2018,753.96
11,Nov,2018,802.16
12,Dec,2018,1057.9
1,Jan,2019,731.13
2,Feb,2019,927.24
3,Mar,2019,836.35
4,Apr,2019,700.37
5,May,2019,668.28
6,Jun,2019,660.34
7,Jul,2019,790.38
8,Aug,2019,789.2
9,Sep,2019,694.96
10,Oct,2019,774.02
11,Nov,2019,815.91
12,Dec,2019,1077.72
1,Jan,2020,766.59
2,Feb,2020,685.41
3,Mar,2020,331.89
4,Apr,2020,2.25
5,May,2020,3.44
6,Jun,2020,5.4
7,Jul,2020,3.53
8,Aug,2020,3.03
9,Sep,2020,3.72
10,Oct,2020,6.07
11,Nov,2020,7.57
12,Dec,2020,8.82
1,Jan,2021,7.99
2,Feb,2021,6.26
3,Mar,2021,8.32
4,Apr,2021,22.61
5,May,2021,36.19
6,Jun,2021,36.77
7,Jul,2021,18.72
8,Aug,2021,6.39
9,Sep,2021,4.43
10,Oct,2021,4.41
11,Nov,2021,20.86
12,Dec,2021,73.29
1,Jan,2022,60.76
2,Feb,2022,90.46
3,Mar,2022,170.25
4,Apr,2022,235.46
5,May,2022,231.48
6,Jun,2022,275.3
7,Jul,2022,325.68
8,Aug,2022,348.44
9,Sep,2022,371.85
10,Oct,2022,430.47
11,Nov,2022,505.24
12,Dec,2022,648.97
1,Jan,2023,412.41
2,Feb,2023,600.71
3,Mar,2023,613.34
4,Apr,2023,544.92
5,May,2023,512.33
6,Jun,2023,542.08
7,Jul,2023,625.12
8,Aug,2023,603.36
9,Sep,2023,584.62
10,Oct,2023,607.93
11,Nov,2023,663.76
12,Dec,2023,876.86